address.city,salary.from
Белгород,28000.0
Великий Новгород,35714.28571428572
Душанбе,40000.0
Иркутск,150000.0
Казань,34285.71428571428
Калуга,97692.30769230769
Комсомольск-на-Амуре,31500.0
Королёв,25000.0
Костомукша,60000.0
Краснодар,28322.916666666668
Лесной,37333.333333333336
Липецк,27750.0
Москва,76176.4705882353
Мурманск,50000.0
Мурманская область,42000.0
Новосибирск,40714.28571428572
Омск,37500.0
Орёл,30500.0
Петрозаводск,43478.260869565216
Псков,29222.222222222223
Рязань,26176.470588235294
Санкт-Петербург,30888.88888888889
Севастополь,27000.0
Северск,47000.0
Смоленск,35600.0
Тамбов,220000.0
Томск,32000.0
Томский район,45000.0
Чебаркуль,30000.0
Челябинск,36336.13445378151
Челябинская область,30000.0
городской округ Домодедово,40000.0
городской округ Химки,39000.0
посёлок Приобский,65000.0
посёлок Социалистический,24000.0
посёлок городского типа Городищи,28000.0
посёлок городского типа Подгорный,34000.0
