,vacancy.job-name
Старший помощник военный комиссар,13
Старший помощник военного комиссара,8
Военный комиссар,6
Помощник начальника отделения (подготовки и призыва граждан на военную службу),6
Начальник отделения (подготовки и призыва граждан на военную службу),4
Военнослужащий,3
помощник начальника отделения (подготовки и призыва граждан на военную службу),3
Помощник руководителя и специалиста военный комиссар,3
Старший помощник военного комиссара (по правовой работе),3
Военнослужащий (офицерский состав),3
Военнослужащий по контракту,2
старший помощник военного комиссара,2
Старший помощник начальника отделения (по АСУ) отделения (подготовки и призыва граждан на военную службу),2
старший помощник военного комиссара по профессиональному психологическому отбору,2
Старший помощник военного комиссара (по обеспечению безопасности информации),2
помощник начальника отделения (подготовики и призыва граждан на военную службу)  (по воинскому учету),2
Фельдшер центра (военно-врачебной экспертизы),2
Медицинская сестра центра (военно-врачебной экспертизы),2
начальник отделения подготовки и призыва граждан на военную службу,1
старший помощник начальника отделения (подготовки и призыва граждан на военную службу),1
Начальник административно-хозяйственного отделения военного комиссариата Республики Коми,1
Водитель военного комиссариата Приморского края,1
"Начальник отделения (планирования, предназначения, подготовки и учета мобилизационных ресурсов) военного комиссариата (Княжпогостского и Усть-Вымского районов Республики Коми",1
Старший помощник начальника отделения (подготовки и призыва граждан на военную службу),1
Помощник солиста военного оркестра,1
"Старший помощник начальника отделения (социального и пенсионного обеспечения, финансово-экономическое) военного комиссариата г.Вилючинск",1
"Ведущий специалист отдела по военно-мобилизационной работе, гражданской обороне и чрезвычайным ситуациям",1
военнослужащий по контракту,1
Фельдшер (центра военно-врачебной экспертизы),1
Помощник начальника административно-хозяйственного отделения военного комиссариата Республики Коми,1
Водитель военнослужащий,1
Военная служба в Росгвардии,1
Начальник военное-учетного стола,1
Руководитель по военно-патриотической и спортивно-массовой работе,1
Старший помощник военного комиссара (города Усинск и Усинского района Республики Коми),1
Фельдшер военного комиссариата (Удорского района Республики Коми) центра (военно-врачебной экспертизы),1
Фельдшер военного комиссариата (Троицко-Печорского района Республики Коми) центра (военно-врачебной комиссии),1
аналитик группы военно-технической политики,1
Военная служба по контракту,1
Врач-терапевт военного комиссариата Ленинского и Фрунзенского р-нов г. Владивосток,1
Старший помощник начальника отделения (по военно-патриотической работе и работе с ветеранами) (по военно-патриотической работе),1
Музыкант военного оркестра,1
Первый помощник военный комиссар,1
Водитель военного комиссариата Ленинского р-на г. Владивосток,1
врач-психиатр военно-врачебной комиссии,1
Старший помощник военного комиссара по правовой работе военного комиссариата Ленинского р-на г. Владивостока,1
Помощник начальника отделения центра социального и пенсионного обеспечения военного комиссариата Приморского края,1
Военнослужащий (младший командный состав),1
Специалист военно-учетного отдела,1
